COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Lithuania,LTU,EURO,REPORTING,2/20/2022,4432081,1944941,158.6,69.763,1890524,67.662,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4
Luxembourg,LUX,EURO,REPORTING,2/20/2022,1214622,467216,194,74.622,456085,72.844,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Madagascar,MDG,AFRO,REPORTING,2/15/2022,1185489,1007538,4.281,3.639,956396,3.454,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",5/10/2021,3
Malawi,MWI,AFRO,REPORTING,2/20/2022,1913961,1514214,10.005,7.915,798512,4.174,"Janssen - Ad26.COV 2-S,SII - Covishield",3/11/2021,2
Malaysia,MYS,WPRO,REPORTING,2/18/2022,65868311,26485500,203.511,81.831,25741836,79.534,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,8
Maldives,MDV,SEARO,REPORTING,2/20/2022,889044,398088,164.472,73.646,370765,68.591,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,8
Mali,MLI,AFRO,REPORTING,2/25/2022,1634711,1155936,8.072,5.708,798284,3.942,SII - Covishield,3/31/2021,1
Malta,MLT,EURO,REPORTING,2/20/2022,1192097,448134,231.7,87.09,440866,85.678,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4
Marshall Islands,MHL,WPRO,REPORTING,2/16/2022,51939,27833,87.744,47.02,23644,39.943,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/29/2020,3
Martinique,MTQ,AMRO,REPORTING,2/25/2022,368725,146841,98.257,39.13,141027,37.581,Pfizer BioNTech - Comirnaty,,1
